date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2023-12-31,FY24,2023-12,Dec,2023Q4,2023-W53,Sunday,1
2024-01-01,FY24,2024-01,Jan,2024Q1,2024-W00,Monday,1
2024-01-02,FY24,2024-01,Jan,2024Q1,2024-W00,Tuesday,1
2024-01-03,FY24,2024-01,Jan,2024Q1,2024-W00,Wednesday,1
2024-01-04,FY24,2024-01,Jan,2024Q1,2024-W00,Thursday,1
2024-01-05,FY24,2024-01,Jan,2024Q1,2024-W00,Friday,1
2024-01-06,FY24,2024-01,Jan,2024Q1,2024-W00,Saturday,1
2024-01-07,FY24,2024-01,Jan,2024Q1,2024-W01,Sunday,1
2024-01-08,FY24,2024-01,Jan,2024Q1,2024-W01,Monday,1
2024-01-09,FY24,2024-01,Jan,2024Q1,2024-W01,Tuesday,1
2024-01-10,FY24,2024-01,Jan,2024Q1,2024-W01,Wednesday,1
2024-01-11,FY24,2024-01,Jan,2024Q1,2024-W01,Thursday,1
2024-01-12,FY24,2024-01,Jan,2024Q1,2024-W01,Friday,1
2024-01-13,FY24,2024-01,Jan,2024Q1,2024-W01,Saturday,1
2024-01-14,FY24,2024-01,Jan,2024Q1,2024-W02,Sunday,1
2024-01-15,FY24,2024-01,Jan,2024Q1,2024-W02,Monday,1
2024-01-16,FY24,2024-01,Jan,2024Q1,2024-W02,Tuesday,1
2024-01-17,FY24,2024-01,Jan,2024Q1,2024-W02,Wednesday,1
2024-01-18,FY24,2024-01,Jan,2024Q1,2024-W02,Thursday,1
2024-01-19,FY24,2024-01,Jan,2024Q1,2024-W02,Friday,1
2024-01-20,FY24,2024-01,Jan,2024Q1,2024-W02,Saturday,1
2024-01-21,FY24,2024-01,Jan,2024Q1,2024-W03,Sunday,1
2024-01-22,FY24,2024-01,Jan,2024Q1,2024-W03,Monday,1
2024-01-23,FY24,2024-01,Jan,2024Q1,2024-W03,Tuesday,1
2024-01-24,FY24,2024-01,Jan,2024Q1,2024-W03,Wednesday,1
2024-01-25,FY24,2024-01,Jan,2024Q1,2024-W03,Thursday,1
2024-01-26,FY24,2024-01,Jan,2024Q1,2024-W03,Friday,1
2024-01-27,FY24,2024-01,Jan,2024Q1,2024-W03,Saturday,1
2024-01-28,FY24,2024-01,Jan,2024Q1,2024-W04,Sunday,1
2024-01-29,FY24,2024-01,Jan,2024Q1,2024-W04,Monday,1
2024-01-30,FY24,2024-01,Jan,2024Q1,2024-W04,Tuesday,1
2024-01-31,FY24,2024-01,Jan,2024Q1,2024-W04,Wednesday,1
2024-02-01,FY24,2024-02,Feb,2024Q1,2024-W04,Thursday,1
2024-02-02,FY24,2024-02,Feb,2024Q1,2024-W04,Friday,1
2024-02-03,FY24,2024-02,Feb,2024Q1,2024-W04,Saturday,1
2024-02-04,FY24,2024-02,Feb,2024Q1,2024-W05,Sunday,1
2024-02-05,FY24,2024-02,Feb,2024Q1,2024-W05,Monday,1
2024-02-06,FY24,2024-02,Feb,2024Q1,2024-W05,Tuesday,1
2024-02-07,FY24,2024-02,Feb,2024Q1,2024-W05,Wednesday,1
2024-02-08,FY24,2024-02,Feb,2024Q1,2024-W05,Thursday,1
2024-02-09,FY24,2024-02,Feb,2024Q1,2024-W05,Friday,1
2024-02-10,FY24,2024-02,Feb,2024Q1,2024-W05,Saturday,1
2024-02-11,FY24,2024-02,Feb,2024Q1,2024-W06,Sunday,1
2024-02-12,FY24,2024-02,Feb,2024Q1,2024-W06,Monday,1
2024-02-13,FY24,2024-02,Feb,2024Q1,2024-W06,Tuesday,1
2024-02-14,FY24,2024-02,Feb,2024Q1,2024-W06,Wednesday,1
2024-02-15,FY24,2024-02,Feb,2024Q1,2024-W06,Thursday,1
2024-02-16,FY24,2024-02,Feb,2024Q1,2024-W06,Friday,1
